id,pokemon_ability_id,effect,language,short_effect
17,17,"Ein Pokémon mit dieser Fähigkeit kann nicht vergiftet werden. Das schließt schwere poison mit ein.

Wenn ein vergiftetes Pokémon diese Fähigkeit erhält, wird es von der poison geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.",de,Verhindert poison.
18,18,"Ein Pokémon mit dieser Fähigkeit ist immun gegen fire Attacken. Sobald es von einer fire Attacke getroffen wurde, erhöht sich der Schaden der eigenen fire Attacken um 50% bis es den Kampf verlässt.

Die Fähigkeit hat keinen Effekt, wenn das Pokémon eingefroren ist. Der Bonus bleibt erhalten wenn das Pokémon eingefroren ist und wieder auftaut oder wenn es die Fähigkeit wechselt bzw. diese deaktiviert wird. fire Attacken ignorieren den substitute. Der Effekt wirkt auch bei fire Attacken die keinen Schaden verursachen, wie z.B. will o wisp.",de,"Schützt vor fire Attacken. Sobald eine fire Attacke blockiert wurde, erhöht sich der Schaden der eigenen fire Attacken um 50%."
19,19,"Ein Pokémon mit dieser Fähigkeit ist immun gegen Zusatzeffekt von Attacken.

Ein Zusatzeffekt ist die Chance einer Attacke, als ""Effektchance"" bezeichnet, eine status ailment oder eine stat modifier hervorzurufen oder das Ziel zurückschrecken zu lassen, zusätzlich zum Haupteffekt einer Attacke. Zum Beispiel ist die paralysis die thunder shock verursachen kann ein Zusatzeffekt, im Gegensatz zu thunder wave, genauso wie das Entfernen des Items durch knock off und die erhöhte kritische Trefferchance durch air cutter.",de,Schützt vor Zusatzeffekten von Attacken.
20,20,"Ein Pokémon mit dieser Fähigkeit kann nicht verwirrt werden.

Wenn ein Pokémon verwirrt ist und diese Fähigkeit erhält, wird es von der confusion geheilt.",de,Verhindert confusion.
21,21,"Ein Pokémon mit dieser Fähigkeit kann nicht mit Attacken wie whirlwind ausgetauscht werden.

dragon tail und circle throw verursachen trotzdem Schaden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Erfolgsrate beim Angeln.",de,Verhindert den Austausch von Pokémon durch Attacken.
22,22,"Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, wird der attack des Gegners um 1 Stufe gesenkt. Im Mehrfachkämpfen werden alle Gegner beeinflusst.

Diese Fähigkeit löst auch aus, wenn sie im Kampf erlangt wurde, aber nicht, wenn sie verloren und zurückerlangt wurde.

Die Fähigkeit hat keinen Einfluss auf Gegner mit einem substitute.

Außerhalb vom Kampf: Wenn das erste Pokémon im Team diese Fähigkeit hat, dann hat jede Begegnung mit einem Pokémon das 5 oder mehr Level niedriger ist, eine Chance von 50% übersprungen zu werden.",de,Senkt den attack des Gegners um 1 Stufe beim Betreten des Kampfes.
23,23,"Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann der Gegner nicht fliehen oder ausgetauscht werden.

Andere Pokémon mit derselben Fähigkeit sind nicht betroffen. Pokémon mit run away können trotzdem fliehen. Pokémon können mit bestimmten Items oder Attacken ausgetauscht werden.",de,"Verhindert, dass der Gegner flieht oder ausgetauscht wird."
24,24,"Wenn eine gegnerische Attacke Kontakt mit einem Pokémon mit dieser Fähigkeit hat, erleidet der Angreifer 1/8 seiner maximalen hp Schaden.

Diese Fähigkeit ist identisch mit iron barbs.",de,Angreifende Pokémon erhalten 1/8 ihrer maximalen hp Schaden bei Kontakt.
25,25,"Ein Pokémon mit dieser Fähigkeit ist immun gegen alle Schaden verursachenden Attacken die nicht sehr effektiv sind.

Attacken die festen Schaden verursachen, wie night shade oder seismic toss werden mitgezählt. Schaden der nicht direkt durch die Attacke verursacht wird, wie der vom weather, einer status ailment oder spikes wird nicht verhindert.

Diese Fähigkeit kann nicht mit role play kopiert oder mit skill swap getauscht werden, kann aber mit trace kopiert, mit gastro acid deaktiviert oder mit worry seed geändert werden. Das Pokémon kann seine Fähigkeit trotzdem mit role play selbst tauschen.

Wenn das Pokémon einen substitute hat, werden Attacken zuerst durch die Fähigkeit verhindert, erst Attacken die trotzdem treffen würden, würden durch den substitute verhindert.",de,Schützt gegen Schaden verursachende Attacken die nicht sehr effektiv sind.
26,26,"Ein Pokémon mit dieser Fähigkeit ist immun gegen ground Attacken, spikes, toxic spikes und arena trap.

Diese Fähigkeit wird mit gravity oder ingrain deaktiviert oder während eine iron ball getragen wird. roost deaktiviert diese Fähigkeit nicht.",de,Verhindert ground Attacken
27,27,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird, die Kontakt herstellt, besteht eine 30% Chance, dass der Angreifer paralysiert oder vergiftet wird oder einschläft.

Dabei wird nicht berücksichtigt ob der Angreifer immun gegen eine der Statusänderungen ist, es besteht nur eine geringere Chance.",de,"Hat eine 30% Chance bei Kontakt entweder paralysis, poison oder sleep auszulösen."
28,28,"Wenn ein Pokémon mit dieser Fähigkeit verbrannt, paralysiert oder vergiftet wird, erhält das verantwortliche Pokémon die gleiche status ailment.

Diese Fähigkeit gibt schwere poison als schwere poison zurück. Die Fähigkeit funktioniert nicht bei Statusänderungen die nicht direkt von einem anderen Pokémon erhalten wurden, so wie poison von toxic spikes oder die burn durch flame orb.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, haben wilde Pokémon eine Chance von 50% dasselbe Wesen wie das des Pokémons zu haben. Das gilt nicht für Pokémon die außerhalb von Kämpfen erhalten werden oder sich bewegende Legendäre Pokémon.",de,"Kopiert burn, paralysis und poison auf den Verursacher."
29,29,"Pokémon mit dieser Fähigkeit können keine negativen Statuswerte Änderungen von anderen Pokémon zugefügt werden.

Diese Fähigkeit verhindert keine stat modifier die nicht direkt verursacht wurden, wie die verminderte speed durch paralysis oder selbstverursachte negative Statuswerteänderungen wie durch overheat. Dem Pokémon können trotzdem negative Statuswerte mit guard swap, heart swap oder power swap übertragen werden.

Diese Fähigkeit ist identisch mit white smoke im Kampf.",de,Verhindert negative stat modifier von anderen Pokémon.
30,30,"Wenn ein Pokémon mit dieser Fähigkeit ausgewechselt wird, wird es von einer etwaigen major status ailment geheilt.

Wenn diese Fähigkeit während des Kampfes erlangt wird, wird das Pokémon beim Auswechseln geheilt, bevor es die Fähigkeit wieder verliert.",de,Heilt jede major status ailment beim Auswechseln
31,31,"Wenn sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, werden alle electric Attacken die nur 1 Ziel haben auf dieses Pokémon umgeleitet, sofern es ein mögliches Ziel ist. Wird es von electric Attacken getroffen, erhöht sich sein special attack um 1 Stufe, jeder andere Effekt der Attacke wird ignoriert.

Wenn das eigentliche Ziel der Attacke ebenfalls diese Fähigkeit besitzt, wird sie nicht umgeleitet. Gibt es mehrere Pokémon mit dieser Fähigkeit, wird die Attacke zu dem mit der höchsten speed umgeleitet, oder, falls alle die gleiche haben, zu einem zufälligen Pokémon. follow me wirkt vor dieser Fähigkeit.

Wenn das Pokémon mit dieser Fähigkeit vom Typ ground ist, verhindert seine electric Immunität das Ansteigen des Spezialangriffs.",de,Leitet electric Attacken mit nur einem Ziel auf dieses Pokémon um. Absorbiert electric Attacken und erhöht dabei den special attack um 1 Stufe.
32,32,"Attacken von Pokémon mit dieser Fähigkeit treten doppelt so häufig auf wie normal.

Ein Zusatzeffekt ist die Chance einer Attacke, als ""Effectchance"" bezeichnet, eine status ailment oder eine stat modifier hervorzurufen oder das Ziel zurückschrecken zu lassen, zusätzlich zum Haupteffekt einer Attacke. Zum Beispiel ist die paralysis die thunder shock verursachen kann ein Zusatzeffekt, im Gegensatz zu thunder wave, genauso wie das Entfernen des Items durch knock off und das Erhöhen der kritischen Trefferchance durch air cutter.

secret power ist davon unberührt.",de,Verdoppelt die Chance das ein Zusatzeffekt beim Einsatz einer Attacke auftritt
33,33,"Die speed eines Pokémon mit dieser Fähigkeit ist doppelt so hoch wie normal, solange es regnet.

Dieser Bonus zählt nicht als stat modifier.",de,Verdoppelt die speed während es regnet.
34,34,"Während strong sunlight ist die speed eines Pokémon mit dieser Fähigkeit doppelt so hoch wie normal.

Dieser Bonus zählt nicht als stat modifier.",de,Verdoppelt die speed während starkem Sonnenlicht.
35,35,"Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, ist die Wahrscheinlichkeit einem wilden Pokémon zu begegnen doppelt so hoch wie normal.

Diese Fähigkeit hat im Kampf keinen Effekt.",de,"Verdoppelt die Wahrscheinlichkeit, einem wilden Pokémon zu begegnen."
36,36,"Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, kopiert es die Fähigkeit eines zufällig ausgewählten Gegners.

flower gift, forecast, illusion, imposter, multitype, trace, wonder guard und zen mode können nicht kopiert werden.",de,Kopiert die Fähigkeit des Gegners beim Betreten des Kampfes.
37,37,"Solange sich ein Pokémon mit dieser Fähigkeit im Kampf befindet ist sein attack doppelt so hoch wie sonst.

Dieser Bonus zählt nicht als stat modifier.

Diese Fähigkeit ist identisch mit pure power.",de,Verdoppelt den attack im Kampf.
38,38,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance den Angreifer zu vergiften.",de,Hat eine 30% Chance den Gegner bei Kontakt zu vergiften.
39,39,Ein Pokémon mit dieser Fähigkeit kann nicht zurückschrecken.,de,Verhindert zurückschrecken.
40,40,"Ein Pokémon mit dieser Fähigkeit kann nicht einfrieren.

Erhält ein eingefrorenes Pokémon diese Fähigkeit, taut es sofort auf. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.

Außerhalb vom Kampf: Wenn ein Pokémon im Team diese Fähigkeit hat, wird der hatch counter um 2 statt um 1 pro step cycle reduziert, was dazu führt, dass Eier doppelt so schnell schlüpfen. Dieser Effekt stapelt sich nicht, wenn mehrere Pokémon diese Fähigkeit oder flame body haben.",de,Verhindert einfrieren.
41,41,"Ein Pokémon mit dieser Fähigkeit kann keine burn erleiden.

Wenn ein Pokémon mit burn diese Fähigkeit erhält, wird es von der burn geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.",de,Verhindert burn.
42,42,"Solange sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, werden steel Pokémon daran gehindert zu fliehen oder ausgetauscht zu werden.

Pokémon mit der Fähigkeit run away können trotzdem fliehen. Pokémon können trotzdem mit Hilfe von bestimmten Items oder Attacken ausgetauscht werden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Chance wilden steel Pokémon zu begegnen.",de,"Verhindert, dass steel Pokémon fliehen oder ausgetauscht werden können."
43,43,"Pokémon mit dieser Fähigkeit sind immun gegen Attacken die schallbasiert sind.

heal bell wird nicht verhindert. uproar hindert die Pokémon trotzdem am einschlafen. Dieses Pokémon kann trotzdem einen perish song Zähler durch baton pass erhalten, und es wird einen Zähler behalten, wenn es die Fähigkeit nach Einsatz von perish song erhalten hat.

howl, roar of time, sonic boom und yawn sind keine schallbasierten Attacken.",de,Schütz vor Schall Attacken.
44,44,Pokémon mit dieser Fähigkeit heilen am Ende jeder Runde 1/16 ihrer maximalen hp wenn es regnet.,de,Heilt jede Runde 1/16 der maximalen hp wenn es regnet.
45,45,"Das weather ändert sich zu sandstorm wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt und hört erst auf, wenn es von einem anderen weather abgelöst wird.

Wenn mehrere Pokémon mit dieser Fähigkeit, drizzle, drought oder snow warning zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen im Sandsturm nur halb so viele Pokémon auf.",de,Beschwört beim Betreten des Kampfes einen sandstorm herauf der nicht endet.
46,46,"Attacken die ein Pokémon mit dieser Fähigkeit zum Ziel haben, kosten 1 pp mehr als sonst.

Die Fähigkeit löst für jeden Treffer von Attacken die öfters treffen aus. Die Fähigkeit löst auch bei Attacken aus die fehlschlagen oder daneben gehen. Der Effekt zählt nicht für Attacken desselben Teams die das Ganze Feld oder nur die eigene Seite treffen, sowie die eigenen Attacken die sich selbst treffen. Der Effekt löst dafür bei Attacken von Teammitgliedern aus die nur das Pokémon mit dieser Fähigkeit zum Ziel haben, die alle anderen zum Ziel haben und Attacken von Gegnern die das ganze Feld treffen. Wenn diese Fähigkeit die Kosten auf einen Wert erhöht, der die verbleibenden pp übersteigt, wird es alle verbrauchen.

Wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt, werden alle Trainer über diese Fähigkeit benachrichtigt.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen Pokémon mit einem höheren Level häufiger auf.",de,Erhöht die pp Kosten des Gegners um 1.
47,47,Pokémon mit dieser Fähigkeit erhält von fire und ice Attacken nur halben Schaden.,de,Halbiert den Schaden von fire und ice Attacken.
48,48,"Bei Pokémon mit dieser Fähigkeit sinkt die Anzahl der Verbleibenden Runden im Schlaf pro Runde um 2 statt um 1.

Wenn der Zähler bei 1 ist fällt er auf 0 und das Pokémon wacht auf.",de,Pokémon wachen doppelt so schnell wieder auf.
49,49,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird die Kontakt herstellt, besteht eine 30% Chance, den Gegner zu verbrennen.

Außerhalb vom Kampf: Wenn ein Pokémon im Team diese Fähigkeit hat, wird der hatch counter um 2 statt um 1 pro step cycle reduziert, was dazu führt, dass Eier doppelt so schnell schlüpfen. Dieser Effekt stapelt sich nicht, wenn mehrere Pokémon diese Fähigkeit oder magma armor haben.",de,"Hat eine 30% Chance, bei Kontakt burn auszulösen."
50,50,"Pokémon mit dieser Fähigkeit können immer aus Kämpfen mit wilden Pokémon fliehen, selbst wenn es durch eine Attacke oder eine Fähigkeit gefangen ist.",de,"Stellt sicher, dass die Flucht vor wilden Pokémon gelingt."
51,51,"Pokémon mit dieser Fähigkeit kann die accuracy nicht gesenkt werden.

Die Fähigkeit verhindert nur direkte Statuswertveränderungen, der Genauigkeitsverlust durch fog wird nicht verhindert, auch nicht das Erhöhen des Fluchtwerts des Gegners. Pokémon mit dieser Fähigkeit kann trotzdem negative accuracy durch heart swap übertragen werden.

Außerhalb vom Kampf: Wenn das erste Pokémon im Team diese Fähigkeit hat, dann hat jede Begegnung mit einem Pokémon das 5 oder mehr Level niedriger ist, eine Chance von 50% übersprungen zu werden.",de,Verhindert das Absenken der accuracy.
52,52,"Pokémon mit dieser Fähigkeit kann der attack nicht gesenkt werden.

Die Fähigkeit verhindert nur Statuswertveränderungen, der verminderte attack durch burn wird nicht verhindert. Pokémon mit dieser Fähigkeit können trotzdem negative accuracy durch heart swap oder power swap übertragen werden.",de,Verhindert das Absenken des Angriffs.
53,53,"Wenn ein Pokémon mit dieser Fähigkeit nicht bereits ein Item hält und ein anderes Pokémon ein getragenes Item verbraucht oder wegschleudert, hebt es das Item am Ende der Runde auf. Nach jedem Kampf besteht eine 10% Chance, dass das Pokémon ein Item aufhebt wenn es nicht bereits eines trägt.

air balloon und eject button können nicht aufgehoben werden.

Die gefundenen Items variieren je nach Spiel und, seit Smaragd, dem Level des Pokémons mit dieser Fähigkeit. Die Fähigkeit wird überprüft wenn der Kampf endet und temporär erlangte Fähigkeiten wieder weg sind.",de,Hebt benutzte oder weggeschleuderte getragene Items von anderen Pokémon auf. Kann nach dem Kampf ein Item aufheben.
54,54,"Pokémon mit dieser Fähigkeit überspringen jede zweite Runde statt eine Attacke einzusetzen (""faulenzen"").

Faulenzen unterbricht Attacken die über mehrere Runden gehen genauso wie paralysis, Zurückschrecken usw. Die meisten dieser Attacken, wie bide oder rollout, werden einfach abgebrochen, wenn das Pokémon faulenzt. Attacken nach denen eine Runde aufgeladen werden muss, wie hyper beam, müssen nicht aufgeladen werden, Attacken mit Vorbereitungsrunde, wie fly, werden nicht abgebrochen. Attacken die mehrere Runden dauern aber bei einem Fehlschlag nicht enden, wie outrage, uproar, oder jede von encore erzwungene Attacke, enden nicht, wenn das Pokémon faulenzt.

Wenn das Pokémon verwirrt ist, wird die confusion nicht beachtet beim Faulenzen, das Pokémon verletzt sich nicht selbst und die confusion endet nicht früher deswegen.

Wenn das Pokémon versucht sich zu bewegen aber von paralysis oder gravity daran gehindert wird, zählt das trotzdem als erfolgreich und es wird die nächste Runde faulenzen. Wenn es nicht versucht sich zu bewegen, weil es beispielsweise schläft oder eingefroren ist, wird das was es versucht hat verschoben bis zum nächsten Versuch, der eine Attacke oder faulenzen sein kann, abhängig davon, was es zuletzt tat.

Diese Fähigkeit kann nicht mit worry seed ausgetauscht werden, aber mit gastro acid deaktiviert, mit role play geändert oder mit skill swap getauscht werden.",de,Überspringt jede zweite Runde.
55,55,"Physische Attacken von Pokémon mit dieser Fähigkeit verursachen 1,5× so viel Schaden wie sonst, haben dafür aber nur 80% ihrer normalen accuracy.

Spezialattacken werden nicht beeinflusst. Attacken die festen Schaden verursachen wie seismic toss haben ihren normalen Schaden aber die verringerte accuracy.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen Pokémon mit einem höheren Level häufiger auf.",de,"Erhöht den Schaden von physischen Attacken um 50%, aber senkt ihre accuracy auf 80% ihres sonstigen Werts."
56,56,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance, dass beim Angreifer Anziehung ausgelöst wird.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, besteht bei allen wilden Pokémon die beide Geschlechter haben können eine 2/3 Chance, vom anderen Geschlecht zu sein und eine 1/3 Chance ein zufälliges Geschlecht zu haben.",de,Bei Kontakt besteht eine 30% Chance beim Gegner Anziehung auszulösen.
57,57,"Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen special attack wenn ein Team-Pokémon die Fähigkeit plus oder minus hat.

Der Bonus zählt nicht als stat modifier. Wenn eine der Fähigkeiten deaktiviert wird, z.B. von gastro acid, verlieren beide ihren Effekt.",de,Erhöht den special attack um 50% wenn ein Team-Pokémon plus oder minus hat.
58,58,"Pokémon mit dieser Fähigkeit haben einen 1,5× so hohen special attack wenn ein Team-Pokémon die Fähigkeit plus oder minus hat.

Der Bonus zählt nicht als stat modifier. Wenn eine der Fähigkeiten deaktiviert wird, z.B. von gastro acid, verlieren beide ihren Effekt.",de,Erhöht den special attack um 50% wenn ein Team-Pokémon plus oder minus hat.
59,59,"Während es regnet, hagelt oder bei starkem Sonnenlicht, ändert sich der Typ des Pokémons zu water, ice oder fire, respektive. Außerdem ändert sich seine Form entsprechend.

Die Fähigkeit hat keinen Effekt für jedes andere Pokémon außer castform.

Wenn das weather endet oder sich zu einem ändert welches diese Fähigkeit nicht beeinflusst, oder wenn ein Pokémon mit air lock oder cloud nine den Kampf betritt, werden Typ und Form auf den Normalwert zurückgesetzt. Wenn die Fähigkeit deaktiviert oder ausgetauscht wird, kann das Pokémon seine Form nicht ändern, bis es sie wiedererlangt.",de,Ändert den Typ von castform zu dem des Wetters.
60,60,"Einem Pokémon mit dieser Fähigkeit kann ein getragenes Item nicht gestohlen werden.

Attacken die Schaden verursachen und Items entfernen verursachen immer noch Schaden, z.B. knock off oder pluck. Das Pokémon kann trotzdem Attacken einsetzen die eigene Items entfernen, wie z.B. fling oder trick.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Erfolgsrate beim Angeln.",de,"Verhindert, dass ein getragenes Item von einem anderen Pokémon gestohlen werden kann."
61,61,Pokémon mit dieser Fähigkeit haben am Ende jeder Runde eine 33% Chance von einer bestehenden major status ailment geheilt zu werden.,de,Nach jeder Runde besteht eine 33% Chance von einer bestehenden Statusänderung geheilt zu werden.
62,62,"Wenn ein Pokémon mit dieser Fähigkeit schläft, brennt, paralysiert oder vergiftet ist, ist sein attack 1,5× so hoch wie sonst. Bei Verbrennung gibt es keine Halbierung des Angriffs.

Der Bonus zählt nicht als Statuswerte Änderung.",de,Erhöht den attack um 50% wenn das Pokémon unter einer major status ailment leidet.
63,63,"Wenn ein Pokémon mit dieser Fähigkeit unter einer major status ailment leidet, hat es eine 1,5× höhere defense.

Der Bonus zählt nicht als Statuswerte Änderung.",de,Erhöht die defense um 50% wenn das Pokémon unter einer major status ailment leidet.
64,64,"Whenever a Pokémon would heal after hitting this Pokémon with a leeching move like absorb, it instead loses as many HP as it would usually gain.

dream eater is unaffected.",en,Damages opponents using leeching moves for as much as they would heal.
65,65,"When this Pokémon has 1/3 or less of its HP remaining, its grass-type moves inflict 1.5× as much regular damage.",en,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
66,66,"Wenn ein Pokémon mit dieser Fähigkeit nur noch 1/3 seiner maximalen hp oder weniger hat, werden all seine fire Attacken verstärkt, so dass sie 1,5× so viel regular damage anrichten wie sonst.",de,Erhöht den Schaden von fire Attacken um 50% wenn nur noch 1/3 der maximalen hp oder weniger übrig sind.
67,67,"Wenn ein Pokémon mit dieser Fähigkeit nur noch 1/3 seiner maximalen hp oder weniger hat, werden all seine water Attacken verstärkt, so dass sie 1,5× so viel regular damage anrichten wie sonst.",de,Erhöht den Schaden von water Attacken um 50% wenn nur noch 1/3 der maximalen hp oder weniger übrig sind.
68,68,"Wenn ein Pokémon mit dieser Fähigkeit nur noch 1/3 seiner maximalen hp oder weniger hat, werden all seine bug Attacken verstärkt, so dass sie 1,5× so viel regular damage anrichten wie sonst.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, ist die Wahrscheinlichkeit einem wilden Pokémon zu begegnen doppelt so hoch wie normal.",de,Erhöht den Schaden von bug Attacken um 50% wenn nur noch 1/3 der maximalen hp oder weniger übrig sind.
69,69,"Pokémon mit dieser Fähigkeit erhalten keinen Schaden vom Rückstoß diverser Attacken.

Der Rückstoß von struggle wird nicht verhindert. Die Fähigkeit verhindert nicht den Schaden der vom Fehlschlag von jump kick oder high jump kick verursacht wird.",de,Schützt vor Rückstoßschaden.
